1;arms_factory;2333.00;13.00;1077.00;3.14;0
1;arms_factory;2279.00;10.30;1074.00;5.81;0
1;arms_factory;2315.00;9.70;991.00;2.54;0
1;arms_factory;2245.00;9.70;1116.00;5.21;0
1;arms_factory;2323.00;13.75;1063.00;1.59;0
1;arms_factory;2327.00;11.40;1091.00;4.25;0
1;industrial_complex;2303.00;11.30;1037.00;0.99;0
1;industrial_complex;2362.00;10.70;1098.00;3.66;0
1;industrial_complex;2315.00;13.40;1045.00;0.04;0
1;industrial_complex;2344.00;11.30;1099.00;2.70;0
1;industrial_complex;2297.00;10.95;1053.00;5.72;0
1;industrial_complex;2313.00;10.45;1107.00;0.64;0
1;air_base;2320.00;10.30;1114.00;4.76;0
1;naval_base;2310.00;9.50;992.00;-1.22;7205
1;naval_base;2275.00;9.70;1028.00;-0.90;6728
1;naval_base;2260.00;9.50;1068.00;-0.54;6500
1;naval_base;2364.00;9.70;1089.00;-4.12;7791
1;naval_base;2246.00;9.50;1086.00;-0.64;6134
1;naval_base;2297.00;9.70;1007.00;-0.79;7205
1;naval_base;2334.00;9.70;993.00;-4.33;2049
1;naval_base;2272.00;9.70;1045.00;-2.47;6500
1;naval_base;2236.00;9.50;1115.00;-1.57;7340
1;naval_base;2252.00;9.50;1075.00;-1.31;6134
1;bunker;2362.00;11.20;1104.00;2.26;0
1;bunker;2304.00;9.90;1120.00;0.11;0
1;bunker;2336.00;10.70;1108.00;1.67;0
1;bunker;2278.00;11.30;1084.00;5.79;0
1;bunker;2341.00;11.50;1059.00;0.71;0
1;bunker;2329.00;10.30;1118.00;4.83;0
1;bunker;2350.00;11.50;1095.00;0.11;0
1;bunker;2343.00;9.70;1144.00;2.78;0
1;bunker;2318.00;9.70;997.00;5.44;0
1;bunker;2268.00;9.70;1068.00;2.17;0
1;bunker;2317.00;10.40;1104.00;3.38;0
1;bunker;2341.00;9.70;1160.00;1.22;0
1;bunker;2304.00;9.70;1018.00;5.34;0
1;bunker;2305.00;11.30;1096.00;5.45;0
1;bunker;2269.00;9.70;1076.00;3.29;0
1;bunker;2317.00;13.90;1029.00;5.95;0
1;bunker;2284.00;9.70;1048.00;2.33;0
1;bunker;2284.00;9.70;1055.00;3.89;0
1;bunker;2308.00;11.50;1033.00;1.73;0
1;bunker;2300.00;9.80;1130.00;4.40;0
1;bunker;2325.00;9.80;1126.00;0.78;0
1;bunker;2301.00;12.45;1075.00;2.34;0
1;bunker;2260.00;9.70;1099.00;0.18;0
1;bunker;2274.00;11.25;1093.00;2.84;0
1;bunker;2288.00;9.90;1136.00;5.50;0
